name;description;created_at;updated_at;deleted_at
GRUPO ALCOA                   ;      ;25/1/24 19:47;        ;        
GRUPO ALVES & SILVA           ;      ;25/1/24 19:47;        ;        
GRUPO AMANCO                  ;      ;25/1/24 19:47;        ;        
GRUPO AMBEV                   ;      ;25/1/24 19:47;        ;        
GRUPO AMPLA                   ;      ;25/1/24 19:47;        ;        
GRUPO ANDRADE E FERNANDES     ;      ;25/1/24 19:47;        ;        
GRUPO ANR TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO ANTONIO MATEUS COSTA OLI;      ;25/1/24 19:47;        ;        
GRUPO APERAM INOX             ;      ;25/1/24 19:47;        ;        
GRUPO APOLO TUBULARS          ;      ;25/1/24 19:47;        ;        
GRUPO AREMINAS                ;      ;25/1/24 19:47;        ;        
GRUPO ARNO                    ;      ;25/1/24 19:47;        ;        
GRUPO ARRUDA COMERCIO         ;      ;25/1/24 19:47;        ;        
GRUPO ARTUR SILVEIRIO NETO    ;      ;25/1/24 19:47;        ;        
GRUPO ASA                     ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO                ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO APUI           ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO CENTRO SUL     ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO COMERCIO DE GEN;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DA AREIA       ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DAS TELAS      ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DE ALIMENTOS   ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DIA A DIA      ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DO ACO DE VALEN;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DO CIMENTO     ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DO FERRO       ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO DO FERRO INDUST;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO ECONOMICO      ;      ;25/1/24 19:47;        ;        
GRUPO ATACADAO FERRO E ACO    ;      ;25/1/24 19:47;        ;        
GRUPO ATAIDE MARTINS DE ARAUJO;      ;25/1/24 19:47;        ;        
GRUPO ATCO PLASTICOS          ;      ;25/1/24 19:47;        ;        
GRUPO ATLANTICO TERMINAIS     ;      ;25/1/24 19:47;        ;        
GRUPO AUTOBAMA TRANSPORTES    ;      ;25/1/24 19:47;        ;        
GRUPO AUTOLOG TRANSP          ;      ;25/1/24 19:47;        ;        
GRUPO AUTOMAQ                 ;      ;25/1/24 19:47;        ;        
GRUPO AVN TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO AWA PETROLEO            ;      ;25/1/24 19:47;        ;        
GRUPO BADARO E CERQUEIRA      ;      ;25/1/24 19:47;        ;        
GRUPO BARGIARTH               ;      ;25/1/24 19:47;        ;        
GRUPO BELMAN                  ;      ;25/1/24 19:47;        ;        
GRUPO BENDO & CIA             ;      ;25/1/24 19:47;        ;        
GRUPO BERNECK                 ;      ;25/1/24 19:47;        ;        
GRUPO BERTOLIN TRANSPORTES    ;      ;25/1/24 19:47;        ;        
GRUPO BETANIA                 ;      ;25/1/24 19:47;        ;        
GRUPO BETTANIN                ;      ;25/1/24 19:47;        ;        
GRUPO BGP                     ;      ;25/1/24 19:47;        ;        
GRUPO BLUE                    ;      ;25/1/24 19:47;        ;        
GRUPO BO PAPER                ;      ;25/1/24 19:47;        ;        
GRUPO BOA SAFRA               ;      ;25/1/24 19:47;        ;        
GRUPO BORO TRANSPORTES        ;      ;25/1/24 19:47;        ;        
GRUPO BOXTOP DO BRASIL        ;      ;25/1/24 19:47;        ;        
GRUPO B-PROJECTS TRAN         ;      ;25/1/24 19:47;        ;        
GRUPO BRADO LOGISTICA         ;      ;25/1/24 19:47;        ;        
GRUPO BRAMETAL                ;      ;25/1/24 19:47;        ;        
GRUPO BRASKEM                 ;      ;25/1/24 19:47;        ;        
GRUPO BUN LOG SERVICOS LOGISTI;      ;25/1/24 19:47;        ;        
GRUPO BUNGE                   ;      ;25/1/24 19:47;        ;        
GRUPO BUZIN                   ;      ;25/1/24 19:47;        ;        
GRUPO BVC TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO C E CARNEIRO DA SILVA CO;      ;25/1/24 19:47;        ;        
GRUPO C M COM DE MATERIAIS DE ;      ;25/1/24 19:47;        ;        
GRUPO CAL LEVE INDUSTRIA      ;      ;25/1/24 19:47;        ;        
GRUPO CAMIL                   ;      ;25/1/24 19:47;        ;        
GRUPO CAMPINENSE TRANSPORTE   ;      ;25/1/24 19:47;        ;        
GRUPO CANADIAN                ;      ;25/1/24 19:47;        ;        
GRUPO CAPISTRANO              ;      ;25/1/24 19:47;        ;        
GRUPO CARGILL                 ;      ;25/1/24 19:47;        ;        
GRUPO CARLOS RENATO DOS SANTOS;      ;25/1/24 19:47;        ;        
GRUPO CARMO E CARMO           ;      ;25/1/24 19:47;        ;        
GRUPO CARREFOUR               ;      ;25/1/24 19:47;        ;        
GRUPO CASA CENTRAL MAT CONSTR ;      ;25/1/24 19:47;        ;        
GRUPO CASA DO PEDREIRO        ;      ;25/1/24 19:47;        ;        
GRUPO CASA FERNANDES MAT CONST;      ;25/1/24 19:47;        ;        
GRUPO CASAS GUANABARA         ;      ;25/1/24 19:47;        ;        
GRUPO CBP INDUSTRIA BRASILEIRA;      ;25/1/24 19:47;        ;        
GRUPO CBP SUL COLCHOES E ESPUM;      ;25/1/24 19:47;        ;        
